grant_id,method,confidence,basis
0eeb9a26-b2e0-012e-4a79-8816b44dc77b,2.3,medium,runtime containment layer constraining model outputs
0f03639e-5af4-47d0-0c1d-b33fc6cf9d08,2.3,medium,hardware containment interlocks restricting agent capability
0fd8336c-526d-1d66-dd87-78c34e0c4836,3.5,low,runtime sentry node monitoring agent behaviour
0ff5b5de-8fa6-2f34-f3ab-002bb85ea8a3,X.none,low,vague AI product build not a control
0ffebe51-d6c8-7f8a-da17-4d755fa6c1c2,X.advocacy-comms,low,open access fee for public health x-risk paper
101e931a-8e67-3215-a439-3229ca4842e2,X.none,low,AI tool for scientific claim extraction
10205e5c-fa1d-5d5d-e3c9-759352d1ee4e,X.research-theory,medium,theory of value formation in RL agents
104419cb-118c-381c-4c6c-2d87e43027f9,X.research-interp,medium,testing whether model self-reports track computation
10be8ecc-08b3-c590-9ac2-11b9e271cce9,2.2,high,synthetic pretraining data to shift model values
1172fd8f-8a2d-61dd-3e02-8742392c75be,2.3,medium,protocol-layer intent verification gate mitigation
1225e95c-2daf-2b9d-b038-2e5a7709fdfc,2.3,medium,actuator boundary enforcement standard and conformance harness
122f704e-9c6c-b870-8828-34bf9c46fc51,X.research-empirical,high,RL experiments on LLM steganography
1255875e-5627-16a6-6a0f-8c884f8a49b9,X.none,low,unclear grassroots symbolic alignment protocol
1281a6f5-cc59-76b2-c680-246720729436,X.research-empirical,medium,extending AI control evaluation cyber tasks
1288a299-b529-3c26-ca7f-1fb05d2727c2,3.1,medium,benchmark for coordination and decision theory
12e3640e-d2ca-0bf2-a84e-438eb620aeff,3.1,medium,engine evaluating AI reasoning quality
130f5367-38ce-891c-a331-2e11f8ddab54,2.3,medium,runtime guardrail enforcement for agents
132caa41-b0c8-b796-350a-abde67300ba2,X.research-empirical,medium,paper on cross-constitution drift in character training
13d243e6-dc5e-1775-9e37-4086cf51f409,2.3,low,governance layer enforcing reversible agent execution
14345d07-8ab7-40b4-f4c3-f1b145e67322,3.1,medium,evaluation of LLM deception under sandboxing
1447b1f7-9750-ee4a-fe75-56f76f7b0a16,X.research-interp,high,structuring LLM latent space for monitoring and unlearning
1560172e-8f7e-49c4-b3a2-80914166bd07,X.research-empirical,medium,preregistered behavioural replication experiments on models
15761976-7c26-e684-528c-78b7cbc7764b,1.5,medium,international red lines and lab capability thresholds
161661af-5697-3b86-75ea-bbe1e1315b8a,X.research-theory,low,conceptual research on emergent identity
166f3452-ca7b-e70a-d743-9bb105707e01,4.6,low,letting users refuse AI output that drifts
16aebb97-7a4a-cbf8-e6ba-a5ce65e66c79,X.research-empirical,medium,training technique eliciting latent knowledge
17506d43-8400-7b13-af46-fe35a172d694,3.5,medium,deterministic oversight layer for agent traces
1761e4db-d27e-9550-08d2-e0e0736266ab,X.research-theory,high,mathematical alignment framework and toy model
17f6ed03-5851-60a3-15d8-ca24ac6e3665,2.2,medium,teaching models to recognise harm internally
180d865d-5907-5411-87a2-ecc56adcd19c,X.research-interp,high,interpretability toolkit for world models
191c1e2d-4a77-f7e0-9e02-34a76a61b64e,X.research-interp,high,neuroscience tools for interpreting neural networks
19409b94-bb73-9bd8-971f-b307e5e502dc,1.2,low,liability and insurance mechanisms for labs
1977c3e6-e5da-8443-3a22-ed371cfa4454,X.research-theory,medium,mechanism design and collective intelligence for alignment
19818c66-2b90-12b0-2051-9adfe023852f,3.1,medium,pre-deployment blast-radius analysis of agent configs
198790c7-0b50-3ae4-c435-66804cb49526,X.advocacy-comms,high,essays videos narrative change for public
198fa879-09bb-2ca5-f2b3-5fd8eec1ec87,X.advocacy-comms,high,interactive film dramatising AI safety
19ae7625-37ac-accc-f86c-40ee3f91e5b7,X.none,high,portable AI inference runtime
19e1132a-322d-277c-8567-6f6d130fa159,2.2,low,claimed emotional value alignment framework
1a47abc8-cf77-29ac-a189-dcea1ad2882e,3.1,high,red-teaming dataset for dialect jailbreaks
1a57d358-7e9b-ca63-40c5-ca6aed271380,1.2,medium,policy framework for shared compute governance
1ae668ef-1f56-f0db-c514-f269280f817e,3.1,high,evaluating safety of quantized and finetuned open models
1b224ab7-545b-5f3d-9cfe-eb974fa93864,X.advocacy-comms,low,analysis of media discourse on AI risk
1b280c07-9917-0ba9-c0b2-b69b5e7c0eae,2.3,low,hardware-enforced constraint architecture for defence in depth
1b67346d-6bed-03b9-a1bf-c8ea0d377be5,X.research-empirical,medium,empirical safety effects of prompt compression
1b6e27e2-c82f-6f42-b9c0-8355168b0115,X.research-theory,low,abstract scoring framework for systemic collapse risk
1bd4ebaa-8d35-380c-55c1-ff1e6efb07d3,X.research-interp,high,activation axis persona drift detection
1be1a21d-8842-032a-ab9d-e60bfbbe5abe,X.research-theory,high,axiomatic impossibility theorems for behavioral alignment
1c223a6a-4bc0-4995-aa89-edc7f11faedd,1.7,medium,participatory harm taxonomy for marginalized communities
1c5beac2-7cf8-cdfa-5d04-bc2429bd2d52,X.talent-community,medium,accelerator cohort for AI security startups
1c72f02b-7c2d-d6fa-189d-672e34b48d1a,X.research-interp,high,interpreting latent reasoning with natural language autoencoders
1cfccdc8-83f7-d24d-400c-eeb298f33b65,3.1,high,cross-model behavioral benchmark for relational quality
1d2638e0-6ad8-a5d4-a734-478870903c99,X.none,medium,historical scholarship on AI x-risk discourse
1d460936-80a7-d248-7dc1-d7901a420cb9,3.1,low,evaluating biosecurity screening evasion by protein models
1d6f5b70-f69d-3f70-8c57-a15f034de477,2.3,low,external validation gate filtering model outputs
1d9e46a7-e5fb-0764-f5e1-fabfa6d11dd5,3.1,high,engineering contributions to Inspect evals framework
1dc6e27f-518e-9323-3e3d-16091cc1b3fe,3.1,high,open benchmark auditing agent governance claims
1e7f3a01-74fc-472c-acc8-6711cae43b48,3.1,medium,tool testing agent prompts for injection
1fc088be-f95f-f52e-b06b-469e4e327815,X.talent-community,high,conference travel grant
2019/0,X.talent-community,high,career advice organisation
2019/1,X.forecasting,high,AI Impacts forecasting research
2019/10,X.forecasting,medium,Median Group does AI forecasting analysis
2019/11,X.forecasting,medium,modelling transformative AI risk scenarios
2019/12,X.none,high,meditation organisation unrelated to AI
2019/13,X.research-empirical,medium,Ought factored cognition and scalable oversight
2019/14,X.talent-community,high,career advice organisation general support
2019/15,X.forecasting,high,AI Impacts forecasting research
2019/16,X.talent-community,medium,academic conference general support
2019/17,X.none,high,food security in disasters not AI
2019/18,X.advocacy-comms,medium,parliamentary group on future generations
2019/19,X.talent-community,high,rationality training community organisation
2019/2,X.talent-community,medium,AI ethics conference support
2019/20,X.forecasting,medium,existential risk research centre general support
2019/21,1.2,medium,Future Society is an AI governance policy institute
2019/22,X.none,high,longevity research unrelated to AI
2019/23,X.none,low,social minds lab general support unclear
2019/24,X.forecasting,medium,Median Group does AI timelines analysis
2019/25,X.research-empirical,medium,Ought factored cognition and oversight research
2019/26,X.talent-community,high,community hub general support
2019/27,X.research-theory,medium,Topos mathematical foundations research
2019/28,X.none,medium,progress studies writing not AI safety
2019/3,X.none,high,food security organisation not about AI
2019/4,X.talent-community,high,rationality training organisation
2019/5,X.none,high,charter cities not about AI
2019/6,X.forecasting,low,existential risk strategy centre
2019/7,X.none,high,environmental law organisation unrelated to AI
2019/8,X.forecasting,medium,global catastrophic risk strategy institute
2019/9,X.none,high,longevity research unrelated to AI
2020/h1/29,X.talent-community,high,LessWrong community platform general support
2020/h1/30,X.research-theory,high,MIRI agent foundations
2020/h1/31,X.forecasting,high,quantified uncertainty and forecasting research
2020/h1/32,X.talent-community,high,80000 Hours general support
2020/h1/33,X.advocacy-comms,high,FLI is advocacy and public communication
2020/h1/34,X.talent-community,high,LessWrong community platform
2020/h1/35,X.research-theory,high,MIRI agent foundations research
2020/h1/36,X.forecasting,medium,QURI forecasting and estimation research
2020/h1/37,X.talent-community,high,careers advice organisation
2020/h1/38,1.2,medium,Future Society AI governance policy institute
2020/h1/39,X.advocacy-comms,high,FLI is advocacy and public communication
2020/h1/40,X.forecasting,medium,global catastrophic risk strategy institute
2020/h1/41,X.none,medium,Leverage Research general support unplaceable
2020/h1/42,X.forecasting,high,AI Impacts forecasts AI progress
2020/h1/43,X.none,high,mental health degree unrelated to AI
2020/h1/44,X.talent-community,low,BERI operational support to academic centre
2020/h1/45,X.none,low,unknown entity general support
2020/h1/46,X.forecasting,medium,Convergence Analysis strategy research
2020/h1/47,X.talent-community,high,LessWrong community platform
2020/h1/48,X.research-theory,high,MIRI does agent foundations theory
2020/h1/49,X.forecasting,medium,QURI builds forecasting and estimation tools
2020/h1/50,X.talent-community,high,80000 Hours career advising per rubric
2020/h1/51,1.2,medium,Future Society AI governance policy institute
2020/h1/52,X.advocacy-comms,high,FLI general support per rubric
2020/h1/53,X.forecasting,medium,global catastrophic risk strategy institute
2020/h1/54,X.forecasting,high,AI Impacts per rubric
2020/h1/55,X.none,low,unknown company general support
2020/h1/56,X.forecasting,low,existential risk macrostrategy research organisation
2020/h2/57,X.advocacy-comms,high,Future of Life Institute general support
2020/h2/58,X.talent-community,medium,CFAR runs rationality workshops and community
2020/h2/59,X.talent-community,high,FHI research scholars programme
2020/h2/60,X.none,low,cannot place governance research centre work
2020/h2/61,X.none,high,election reform organisation unrelated to AI
2020/h2/62,1.2,medium,The Future Society does broad AI governance policy
2020/h2/63,X.none,medium,philanthropy pledge network not AI
2020/h2/64,X.none,low,applied utilitarianism centre unrelated to AI
2020/h2/65,X.research-theory,medium,Topos applied category theory foundations
2020/h2/66,X.talent-community,high,rationality workshops organisation
2020/h2/67,X.talent-community,high,university existential risk student initiative
2020/h2/68,X.none,medium,RadicalxChange is not AI safety work
2020/h2/69,X.advocacy-comms,low,public writing on progress studies
2020/h2/70,X.research-empirical,medium,CHAI human-compatible AI research centre
2020/h2/71,X.research-theory,high,MIRI general support agent foundations
2020/h2/72,X.advocacy-comms,high,FLI advocacy and public communication
2020/h2/73,X.research-theory,medium,mathematical foundations institute
2020/h2/74,X.talent-community,medium,CFAR rationality workshops general support
2020/h2/75,X.talent-community,high,research scholars programme fellowship
2020/h2/76,X.talent-community,medium,BERI supports x-risk research groups
2020/h2/77,X.forecasting,medium,global catastrophic risk strategy analysis
2020/h2/78,X.talent-community,medium,student existential risk initiative
2020/h2/79,X.forecasting,medium,group analysing AI progress and timelines
2020/h2/80,X.forecasting,medium,modelling transformative AI risk scenarios
2020/h2/81,X.none,low,broad cause prioritisation research organisation
2020/h2/82,X.none,medium,mechanism design movement unrelated to AI
2020/h2/83,X.advocacy-comms,medium,progress studies writing and public communication
2020/h2/84,X.talent-community,medium,academic conference on AI ethics and society
2020/h2/85,X.talent-community,high,Effective Thesis research career guidance
2021/h1/100,X.none,high,food security not AI
2021/h1/101,X.advocacy-comms,medium,parliamentary group outreach on future generations
2021/h1/102,X.none,medium,metascience organisation unrelated to AI safety
2021/h1/103,X.forecasting,low,CSER existential risk strategy research
2021/h1/104,X.none,high,charter cities not AI
2021/h1/105,X.none,low,unknown grantee no description
2021/h1/106,X.forecasting,medium,Convergence AI clarity strategy research
2021/h1/107,X.talent-community,low,unclear community organisation general support
2021/h1/108,X.talent-community,high,CEEALAR hosts researchers and learners
2021/h1/109,X.forecasting,medium,GCRI global catastrophic risk strategy research
2021/h1/110,X.talent-community,medium,operational support for academic x-risk research
2021/h1/111,X.forecasting,medium,existential risk strategy and scenario research
2021/h1/112,X.none,low,academic lab general support not placeable
2021/h1/113,X.forecasting,high,AI Impacts general support
2021/h1/114,X.none,medium,metascience organisation general support
2021/h1/115,X.none,medium,math education platform not about AI
2021/h1/116,X.talent-community,high,EA learning and research centre support
2021/h1/117,X.talent-community,low,operational support for university research centre
2021/h1/118,1.2,high,GovAI does broad AI governance research
2021/h1/119,X.talent-community,high,BERI-SERI research support collaboration
2021/h1/86,X.talent-community,high,rationality training organisation general support
2021/h1/87,X.talent-community,high,LessWrong community platform
2021/h1/88,X.none,low,unclear organisation general support
2021/h1/89,X.research-empirical,medium,academic alignment research group
2021/h1/90,X.research-theory,medium,Critch works on multi-agent alignment theory
2021/h1/91,X.talent-community,low,LTFF regrants mostly individuals upskilling and research
2021/h1/92,X.none,low,BERI-FHI operational collaboration unplaceable
2021/h1/93,X.none,low,math education site unrelated to AI
2021/h1/94,X.talent-community,medium,supports student existential risk initiative
2021/h1/95,X.none,low,donor community organisation not AI
2021/h1/96,1.2,low,legal research on regulating extreme risks
2021/h1/97,1.2,medium,AI governance research with GovAI
2021/h1/98,X.forecasting,high,AI Impacts general support forecasting
2021/h1/99,X.talent-community,high,AI Safety Support community and careers
2021/h2/120,X.talent-community,low,regranting fund mainly supporting individuals and community
2021/h2/121,X.research-theory,medium,CLR conceptual s-risk and cooperation research
2021/h2/122,X.none,high,food security in disasters not AI
2021/h2/123,X.none,low,cannot place Alpenglow Group work
2021/h2/124,X.talent-community,high,Lightcone runs community infrastructure
2021/h2/125,X.talent-community,high,Lightcone Infrastructure community and hub support
2021/h2/126,X.talent-community,medium,EA community infrastructure regranting fund
2021/h2/127,1.2,high,GovAI general support governance research
2021/h2/128,X.research-empirical,medium,Ought works on scalable oversight and factored cognition
2021/h2/129,X.none,medium,science reform organisation not AI
2021/h2/130,X.research-empirical,medium,BERI support for CHAI alignment research
2021/h2/131,X.research-empirical,low,operational support for CHAI alignment research
2021/h2/132,X.none,low,organisation's work hard to place
2021/h2/133,X.research-theory,medium,Topos Institute mathematical foundations work
2021/h2/134,X.talent-community,high,AI Safety Camp general support
2021/h2/135,X.talent-community,low,talent grants programme not AI-specific
2021/h2/136,X.none,high,biostasis foundation unrelated to AI
2021/h2/137,X.forecasting,low,strategic modelling of cooperation and AI risk
2021/h2/138,1.2,low,AI and international relations governance research
2022/h1/139,X.research-empirical,high,Redwood Research general support
2022/h1/140,X.none,low,unclear organisation general support
2022/h1/141,X.talent-community,medium,Nonlinear supports AI safety ecosystem and incubation
2022/h1/142,X.research-empirical,low,fund for language model safety research
2022/h1/143,X.none,high,human challenge trial advocacy not AI
2022/h1/144,X.forecasting,medium,quantified uncertainty and estimation research
2022/h1/145,X.research-theory,medium,alignment theory in complex systems
2022/h1/146,X.none,low,broad existential risk organisation support
2022/h1/147,X.research-theory,medium,Topos Institute mathematical foundations research
2022/h1/148,X.none,medium,focused research organisation incubator
2022/h1/149,1.2,medium,international longterm governance institute
2022/h1/150,X.forecasting,medium,forecasting platform for social science results
2022/h1/151,X.forecasting,medium,prediction market platform
2022/h1/152,X.none,high,charter cities work unrelated to AI
2022/h1/153,X.forecasting,medium,Median Group AI risk modelling and timelines
2022/h1/154,X.none,low,social minds lab general support unclear
2022/h1/155,X.none,low,unknown organisation general support
2022/h1/156,X.none,medium,Rethink Priorities general research support
2022/h1/157,X.none,high,environmental law unrelated to AI
2022/h1/158,X.none,low,organisation work cannot be placed
2022/h1/159,X.none,medium,science policy organisation unrelated to AI
2022/h1/160,X.talent-community,low,donor community building organisation
2022/h1/161,X.advocacy-comms,low,moral circle expansion research and outreach
2022/h1/162,X.advocacy-comms,high,Existential Risk Observatory does public awareness
2022/h1/163,X.talent-community,high,AI ethics conference organisers
2022/h1/164,X.forecasting,medium,global catastrophic risk strategy research
2022/h1/165,X.talent-community,low,Foresight workshops and fellowships community
2022/h1/166,X.none,high,vaccine collaborative unrelated to AI
2022/h1/167,X.none,low,unfamiliar foundation general support
2022/h1/168,X.none,low,general support work not placeable
2022/h1/169,X.none,high,caving society unrelated to AI
2022/h1/170,X.talent-community,low,coding education programme
2022/h2/171,X.forecasting,high,AI Impacts forecasts AI progress
2022/h2/172,X.none,high,food resilience after global catastrophes
2022/h2/173,X.research-theory,high,theoretical alignment impossibility proofs
2022/h2/174,X.research-theory,medium,Alignment Research Center general support
2022/h2/175,X.talent-community,medium,operational support to academic x-risk groups
2022/h2/176,X.research-empirical,medium,BERI support for CHAI alignment research
2022/h2/177,X.none,medium,depolarisation education unrelated to AI
2022/h2/178,X.talent-community,high,community hotel and research hub
2022/h2/179,X.talent-community,medium,CFAR general support
2022/h2/180,X.none,high,election science unrelated to AI
2022/h2/181,X.research-empirical,medium,FAR funds empirical alignment research
2022/h2/182,1.2,medium,Future Society AI governance policy institute
2022/h2/183,1.2,medium,legal research on AI and existential risk governance
2022/h2/184,X.talent-community,high,Lightcone community infrastructure
2022/h2/185,X.none,medium,philanthropic advisory general support
2022/h2/186,X.talent-community,low,independent epistemics writing under Lightcone
2022/h2/187,X.forecasting,low,modelling AI risk scenarios
2022/h2/188,1.2,low,China-focused AI policy research lab
2022/h2/189,X.none,low,metascience research organisation unrelated to controls
2022/h2/190,X.none,high,pronatalism advocacy unrelated to AI
2022/h2/191,X.talent-community,high,rationality meetup groups
2022/h2/192,1.2,medium,SaferAI builds AI risk management frameworks
2022/h2/193,X.talent-community,low,scholarship workshop supports talent pipeline
2022/h2/194,X.advocacy-comms,medium,public deliberation and debate library
2022/h2/195,X.research-theory,medium,Topos category theory foundations
2022/h2/196,X.none,low,university general support unspecified
2022/h2/197,X.none,high,electoral reform organisation unrelated to AI
2022/h2/198,X.none,low,unknown organisation general support
2023/h1/199,X.none,low,organisation work not placeable
2023/h1/200,3.1,high,ARC Evals dangerous capability evaluations
2023/h1/201,X.none,high,food security in disasters not AI
2023/h1/202,X.talent-community,high,Arkose field building outreach to researchers
2023/h1/203,X.research-theory,low,computational cognitive science research institute
2023/h1/204,X.research-theory,low,operational support for CHAI alignment research
2023/h1/205,X.talent-community,low,operational support for university research centre
2023/h1/206,X.research-empirical,medium,CAIS mainly does empirical ML safety research
2023/h1/207,1.2,medium,CSIS AI governance and regulation project
2023/h1/208,X.research-theory,medium,CLR does conceptual s-risk and agent theory
2023/h1/209,1.2,high,GovAI general support
2023/h1/210,X.none,high,charter cities institute unrelated to AI
2023/h1/211,X.none,high,biology lab unrelated to AI
2023/h1/212,X.research-empirical,medium,FAR AI alignment research
2023/h1/213,X.research-empirical,medium,FAR AI does empirical alignment research
2023/h1/214,X.none,low,foreign policy institution org unclear AI link
2023/h1/215,X.research-theory,medium,Holtman conceptual AGI safety work
2023/h1/216,X.none,low,consciousness studies not AI control
2023/h1/217,X.talent-community,high,Lightcone community infrastructure and LessWrong
2023/h1/218,X.forecasting,high,prediction market platform
2023/h1/219,X.research-empirical,medium,Ought scalable oversight and process supervision
2023/h1/220,X.research-theory,medium,PIBBSS does conceptual cross-disciplinary alignment work
2023/h1/221,X.none,low,unknown grantee no description
2023/h1/222,X.research-empirical,high,Redwood empirical alignment and control research
2023/h1/223,1.2,medium,long-term policy centre general support
2023/h1/224,1.7,low,collective input and stakeholder engagement on AI
2023/h1/225,X.none,low,research evaluation journal not AI specific
2023/h1/226,X.research-theory,medium,Topos does mathematical foundations work
2023/h1/227,X.talent-community,medium,university existential risk lab field building
2023/h1/228,X.research-theory,medium,Yampolskiy group conceptual AI uncontrollability research
2023/h2/229,X.talent-community,high,career advice organisation
2023/h2/230,X.forecasting,medium,base rate forecasting project
2023/h2/231,X.talent-community,high,hackathon on agency foundations
2023/h2/232,X.none,low,placeholder Lightspeed grant with no description
2023/h2/233,3.1,medium,AI Forensics platform auditing organisation
2023/h2/234,X.forecasting,high,AI Impacts studies AI progress
2023/h2/235,X.talent-community,high,local AI safety group
2023/h2/236,X.talent-community,low,AI safety workshop event
2023/h2/237,X.advocacy-comms,medium,survey on AI x-risk communication
2023/h2/238,X.research-theory,medium,alignment of complex systems theory group
2023/h2/239,X.none,low,long-term existence organisation work unplaceable
2023/h2/240,X.none,low,unknown grantee no description
2023/h2/241,3.1,high,Apollo does evaluations and deception audits
2023/h2/242,X.forecasting,low,Arb Research does research and forecasting reports
2023/h2/243,X.talent-community,low,local AI safety community group
2023/h2/244,X.talent-community,low,operational support collaboration with research group
2023/h2/245,X.talent-community,medium,BERI operational support for research groups
2023/h2/246,X.none,low,unspecified AI safety research placeholder
2023/h2/247,X.forecasting,low,strategy study of conflict scenarios
2023/h2/248,X.forecasting,low,trajectory modelling study
2023/h2/249,X.talent-community,medium,Catalyze Impact AI safety incubator
2023/h2/250,X.advocacy-comms,medium,campaign organisation for responsible AI
2023/h2/251,X.none,low,unknown project general support
2023/h2/252,X.none,low,unspecified AI safety research grant
2023/h2/253,X.research-interp,high,developmental interpretability
2023/h2/254,X.none,low,general support of small mixed-focus lab
2023/h2/255,X.advocacy-comms,medium,CAIS Action Fund does policy advocacy
2023/h2/256,X.research-empirical,medium,CAIS empirical ML safety research
2023/h2/257,1.2,high,GovAI general support governance research
2023/h2/258,1.2,low,AI biosecurity policy work
2023/h2/259,X.advocacy-comms,medium,campaigning for an AGI moratorium
2023/h2/260,X.talent-community,medium,community health team support
2023/h2/261,X.none,low,unclear organisation general support
2023/h2/262,X.talent-community,low,scholarship with undisclosed description
2023/h2/263,X.none,low,undisclosed project description
2023/h2/264,X.none,high,environmental law organisation not AI
2023/h2/265,X.talent-community,low,national EA rationality research project
2023/h2/266,X.talent-community,medium,French AI safety field building
2023/h2/267,X.advocacy-comms,medium,AI moratorium movement campaigning
2023/h2/268,X.talent-community,medium,European AI safety network
2023/h2/269,X.talent-community,medium,Epistea runs community hubs and workshops
2023/h2/270,X.research-empirical,medium,FAR AI does empirical alignment research
2023/h2/271,X.research-interp,medium,interpretability project
2023/h2/272,X.advocacy-comms,medium,AI risk podcast
2023/h2/273,X.none,low,unfamiliar organisation general support
2023/h2/274,1.2,medium,technology policy think tank general support
2023/h2/275,X.none,low,grant purpose not stated
2023/h2/276,X.none,low,no description of the work funded
2023/h2/277,X.talent-community,low,alignment summit event
2023/h2/278,X.advocacy-comms,medium,global catastrophic risk policy organisation
2023/h2/279,X.research-empirical,low,cognitive oversight lab research
2023/h2/280,X.none,low,grant purpose not stated
2023/h2/281,X.talent-community,low,ML alignment bootcamp in Oxford
2023/h2/282,X.none,low,placeholder Lightspeed grant with no description
2023/h2/283,X.research-interp,high,interpretability tools development
2023/h2/284,X.research-empirical,low,RL safety research group
2023/h2/285,X.talent-community,high,alignment upskilling
2023/h2/286,X.research-theory,high,agent foundations research
2023/h2/287,2.1,low,cybersecurity for AI unspecified
2023/h2/288,X.research-interp,high,interpretability research grant
2023/h2/289,X.research-empirical,medium,debate-based oversight research
2023/h2/290,X.research-empirical,low,unspecified AI safety research grant
2023/h2/291,X.none,high,biotechnology company not AI
2023/h2/292,1.2,low,legal research on AI governance
2023/h2/293,X.advocacy-comms,low,ESG pressure for AI safety
2023/h2/294,X.research-interp,low,interpretability project placeholder grant
2023/h2/295,X.talent-community,high,Lightcone community infrastructure and LessWrong
2023/h2/296,X.research-empirical,low,unspecified LLM safety research
2023/h2/297,X.talent-community,medium,regranting fund for longtermist talent and projects
2023/h2/298,X.none,low,undescribed runway crowdfunding grant
2023/h2/299,X.research-interp,medium,Tegmark group interpretability and AI physics
2023/h2/300,X.talent-community,high,MATS London general support
2023/h2/301,X.advocacy-comms,high,AISafety.info public explainer resource
2023/h2/302,X.none,low,unclear project unrelated to AI
2023/h2/303,X.research-interp,high,interpretability study
2023/h2/304,X.none,low,assistant hire cannot be placed
2023/h2/305,X.talent-community,medium,CEA online community infrastructure
2023/h2/306,X.advocacy-comms,low,suffering-prevention advocacy organisation placeholder grant
2023/h2/307,X.research-theory,medium,Orthogonal does agent foundations research
2023/h2/308,1.2,low,Oxford China policy lab governance research
2023/h2/309,3.1,medium,Palisade demonstrates dangerous AI capabilities
2023/h2/310,X.advocacy-comms,high,PauseAI public campaigning
2023/h2/311,X.none,low,undisclosed Lightspeed grant
2023/h2/312,X.none,low,unspecified alignment research organisation
2023/h2/313,X.research-theory,medium,PIBBSS interdisciplinary alignment theory
2023/h2/314,2.2,low,review of alignment methods
2023/h2/315,X.advocacy-comms,low,AI safety litigation project
2023/h2/316,X.none,low,undisclosed pharma regulation project
2023/h2/317,X.none,medium,biosecurity organisation general support
2023/h2/318,X.none,high,DNA synthesis screening biosecurity
2023/h2/319,X.talent-community,high,SERI MATS scholars programme general support
2023/h2/320,X.research-interp,medium,interpretability research group support
2023/h2/321,X.research-interp,medium,shard theory model internals study
2023/h2/322,X.talent-community,medium,community initiative for women in AI safety
2023/h2/323,X.talent-community,medium,summit organisers
2023/h2/324,X.talent-community,medium,AI safety explainer resource for newcomers
2023/h2/325,X.none,medium,pandemic biosecurity not AI
2023/h2/326,1.2,medium,AI governance and strategy research team
2023/h2/327,X.research-empirical,low,research group on responsible autonomous agents
